# Shopify Product Taxonomy - Categories: 2025-03-rc1
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animale și articole pentru animale de companie
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării cu iarba-mâței
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării de mestecat
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Pene și undițe
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării interactive
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării cu laser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Puzzle-uri și jucării pentru distribuirea de recompense
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării cu sunete
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Jucării umplute și jucării de pluș
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Tuneluri
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Baghete
gid://shopify/TaxonomyCategory/ap-2-2-6          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Recompense pentru pisici
gid://shopify/TaxonomyCategory/ap-2-3            : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-1          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Tampoane și căptușeli pentru scutece pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-2          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Scutece pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-3          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Hrană pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Hrană pentru câini > Hrană pentru câini fără prescripție medicală
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Hrană pentru câini > Hrană pentru câini cu prescripție medicală
gid://shopify/TaxonomyCategory/ap-2-3-4          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Cotețe pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-5          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Accesorii adăpost/țarc pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini > Țarcuri pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini > Țarcuri de alergat pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini > Adăposturi de interior pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini > Adăposturi de exterior pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Adăposturi și țarcuri pentru câini > Adăposturi portabile pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-7          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Jucării pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-8          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Benzi de alergare pentru câini
gid://shopify/TaxonomyCategory/ap-2-3-9          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru câini > Recompense pentru câini
gid://shopify/TaxonomyCategory/ap-2-4            : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică
gid://shopify/TaxonomyCategory/ap-2-4-1          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz > Conducte pentru aer
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz > Tuburi înfășurate
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz > Tuburi flexibile
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz > Tuburi rigide
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tuburi pentru acvariu și iaz > Tuburi standard
gid://shopify/TaxonomyCategory/ap-2-4-2          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu > Difuzoare de aer
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu > Pietre de aer în formă de disc
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu > Pietre de aer standard
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu > Pietre de aer în formă de tub
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietre și difuzoare de aer pentru acvariu > Pietre de aer pentru perete
gid://shopify/TaxonomyCategory/ap-2-4-3          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Raclete pentru alge
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Mănuși pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Perii pentru curățare
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Soluții de curățare
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Aspiratoare pietriș
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Articole pentru frecat
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Sifoane
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Materiale de curățare pentru acvariu > Dispozitive de curățare acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Fundaluri de acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Peșteri și adăposturi pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Pietre pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Substraturi pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Plante artificiale
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Decorațiuni cu bule de aer
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Bucăți de lemn
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Ornamente
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Decor pentru acvariu > Epave
gid://shopify/TaxonomyCategory/ap-2-4-5          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu > Filtre de acvariu externe și cu canistră
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu > Filtre pentru acvariu suspendate în spate (HOB)
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu > Filtre interne pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu > Filtre pentru acvariu cu burete
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Filtre pentru acvariu > Filtre pentru acvariu cu pietriș
gid://shopify/TaxonomyCategory/ap-2-4-6          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Plase pentru pești de acvariu
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Plase pentru pești de acvariu > Mincioguri
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Plase pentru pești de acvariu > Plase pentru creveți
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Plase pentru pești de acvariu > Plase lungi pentru pești
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Plase pentru pești de acvariu > Plase standard
gid://shopify/TaxonomyCategory/ap-2-4-7          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Pământ pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Nisip din aragonit
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Coral pisat
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Pietre din sticlă
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Pietriș
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Pietricele
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Pietriș și substraturi pentru acvariu > Nisip
gid://shopify/TaxonomyCategory/ap-2-4-8          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Iluminat pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-9          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Recipiente de preaplin pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-10         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Standuri pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Standuri pentru acvariu > Standuri tip cutie
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Standuri pentru acvariu > Standuri tip dulap
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Standuri pentru acvariu > Standuri pentru acvarii duble
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Standuri pentru acvariu > Standuri din fier forjat
gid://shopify/TaxonomyCategory/ap-2-4-11         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Regulatoare de temperatură pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Regulatoare de temperatură pentru acvariu > Regulatoare de temperatură analogice
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Regulatoare de temperatură pentru acvariu > Regulatoare de temperatură digitale
gid://shopify/TaxonomyCategory/ap-2-4-12         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Controlul algelor
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru eliminarea amoniacului
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Tratamente fungice și bacteriene
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru eliminarea nitraților
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru ajustarea pH-ului
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru detoxifierea apei de la robinet
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru limpezirea apei
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Tratamente pentru apă pentru acvariu > Substanțe pentru condiționarea apei
gid://shopify/TaxonomyCategory/ap-2-4-13         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Acvarii
gid://shopify/TaxonomyCategory/ap-2-4-14         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Îngrășăminte pentru plante acvatice
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Îngrășăminte pentru plante acvatice > Îngrășăminte granulare
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Îngrășăminte pentru plante acvatice > Îngrășăminte lichide
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Îngrășăminte pentru plante acvatice > Îngrășăminte sub formă de pudră
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Îngrășăminte pentru plante acvatice > Îngrășăminte sub formă de tablete
gid://shopify/TaxonomyCategory/ap-2-4-15         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Dispozitive pentru hrănirea peștilor
gid://shopify/TaxonomyCategory/ap-2-4-16         : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Hrană pentru pești
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Hrană pentru pești > Tablete cu alge
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pești și acvaristică > Hrană pentru pești > Hrană pentru Betta
