# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼镜佩戴方式设计
gid://shopify/TaxonomyAttribute/1761  : 婴儿配方奶粉形态
gid://shopify/TaxonomyAttribute/1717  : 包括婴儿礼品
gid://shopify/TaxonomyAttribute/1720  : 包括婴儿保健用品
gid://shopify/TaxonomyAttribute/3026  : 婴儿监视器功能
gid://shopify/TaxonomyAttribute/1762  : 婴儿零食口味
gid://shopify/TaxonomyAttribute/1763  : 婴儿零食质地
gid://shopify/TaxonomyAttribute/2997  : 婴幼儿服装特点
gid://shopify/TaxonomyAttribute/3029  : 婴幼儿设备安全功能
gid://shopify/TaxonomyAttribute/3103  : 婴幼儿家具特点
gid://shopify/TaxonomyAttribute/3318  : 包含婴幼儿家具用品
gid://shopify/TaxonomyAttribute/3254  : 婴幼儿帽子款式
gid://shopify/TaxonomyAttribute/3247  : 婴幼儿袜子款式
gid://shopify/TaxonomyAttribute/3107  : 婴幼儿座椅特点
gid://shopify/TaxonomyAttribute/3246  : 婴幼儿睡衣款式
gid://shopify/TaxonomyAttribute/8986  : 背板和侧板材质
gid://shopify/TaxonomyAttribute/8985  : 后横梁类型
gid://shopify/TaxonomyAttribute/6636  : 背部设计
gid://shopify/TaxonomyAttribute/6866  : 背板类型
gid://shopify/TaxonomyAttribute/1531  : 靠背类型
gid://shopify/TaxonomyAttribute/5329  : 篮板材料
gid://shopify/TaxonomyAttribute/2047  : 背景设计
gid://shopify/TaxonomyAttribute/2185  : 背衬材料
gid://shopify/TaxonomyAttribute/8987  : 背胶类型
gid://shopify/TaxonomyAttribute/5617  : 背光类型
gid://shopify/TaxonomyAttribute/1527  : 座位靠背类型
gid://shopify/TaxonomyAttribute/8048  : 倒车摄像头安装位置
gid://shopify/TaxonomyAttribute/8049  : 倒车摄像头视频接口
gid://shopify/TaxonomyAttribute/7025  : 包括羽毛球套装组件
gid://shopify/TaxonomyAttribute/7026  : 水袋固定方式
gid://shopify/TaxonomyAttribute/5700  : 包夹式
gid://shopify/TaxonomyAttribute/2958  : 包袋闭合方式
gid://shopify/TaxonomyAttribute/5701  : 袋子的配置
gid://shopify/TaxonomyAttribute/8989  : 防尘袋材质
gid://shopify/TaxonomyAttribute/6637  : 包袋装饰
gid://shopify/TaxonomyAttribute/7027  : 梨球填充介质
gid://shopify/TaxonomyAttribute/5702  : 袋子的隔热性能
gid://shopify/TaxonomyAttribute/8990  : 包袋材质
gid://shopify/TaxonomyAttribute/7028  : 包袋衬垫等级
gid://shopify/TaxonomyAttribute/6638  : 包袋尺寸描述
gid://shopify/TaxonomyAttribute/2222  : 包带类型
gid://shopify/TaxonomyAttribute/3365  : 包袋款式
gid://shopify/TaxonomyAttribute/2725  : 包类型
gid://shopify/TaxonomyAttribute/3006  : 箱包特点
gid://shopify/TaxonomyAttribute/2784  : 箱包材质
gid://shopify/TaxonomyAttribute/3258  : 箱包收纳功能
gid://shopify/TaxonomyAttribute/8988  : 包/箱携带方式
gid://shopify/TaxonomyAttribute/7619  : 贝果尺寸
gid://shopify/TaxonomyAttribute/8991  : 包括风笛配件
gid://shopify/TaxonomyAttribute/8992  : 风笛演奏模式
gid://shopify/TaxonomyAttribute/7029  : 饵料兼容性
gid://shopify/TaxonomyAttribute/7030  : 饵料种类
gid://shopify/TaxonomyAttribute/3100  : 包含烘焙食品
gid://shopify/TaxonomyAttribute/3360  : 包含烘焙用具
gid://shopify/TaxonomyAttribute/1394  : 包括烘焙用具
gid://shopify/TaxonomyAttribute/2813  : 烘焙用具形状
gid://shopify/TaxonomyAttribute/7620  : 烘培装饰原料形态
gid://shopify/TaxonomyAttribute/5703  : 烘焙纸尺寸
gid://shopify/TaxonomyAttribute/1486  : 烘焙目的
gid://shopify/TaxonomyAttribute/2812  : 烤盘材质
gid://shopify/TaxonomyAttribute/5704  : 烤盘样式
gid://shopify/TaxonomyAttribute/7031  : 平衡板样式
gid://shopify/TaxonomyAttribute/7032  : 包括平衡垫配件
gid://shopify/TaxonomyAttribute/8050  : 平衡类型
gid://shopify/TaxonomyAttribute/6346  : 包括球类/杯子游戏部件
gid://shopify/TaxonomyAttribute/7033  : 球体内胆材质
gid://shopify/TaxonomyAttribute/7034  : 足球认证
gid://shopify/TaxonomyAttribute/7035  : 球体结构
gid://shopify/TaxonomyAttribute/7036  : 球芯结构
gid://shopify/TaxonomyAttribute/7037  : 球芯类型
gid://shopify/TaxonomyAttribute/7038  : 球钻状态
gid://shopify/TaxonomyAttribute/7039  : 球架类型
gid://shopify/TaxonomyAttribute/2844  : 球材质
gid://shopify/TaxonomyAttribute/6347  : 游戏球池用球表面处理
gid://shopify/TaxonomyAttribute/6348  : 游戏球池安全功能
gid://shopify/TaxonomyAttribute/7040  : 球类打气筒配件类型
gid://shopify/TaxonomyAttribute/7041  : 回球装置
gid://shopify/TaxonomyAttribute/7042  : 回球类型
gid://shopify/TaxonomyAttribute/1206  : 球尺寸
gid://shopify/TaxonomyAttribute/7043  : 球速等级
gid://shopify/TaxonomyAttribute/7044  : 球面纹理
gid://shopify/TaxonomyAttribute/7045  : 球面类型
gid://shopify/TaxonomyAttribute/6283  : 压载材料
gid://shopify/TaxonomyAttribute/8051  : 气囊配置
gid://shopify/TaxonomyAttribute/8993  : 气球封口/气阀类型
gid://shopify/TaxonomyAttribute/8994  : 气球套装表面处理
gid://shopify/TaxonomyAttribute/2505  : 内附气球套件物品
gid://shopify/TaxonomyAttribute/8995  : 气球套装材质
gid://shopify/TaxonomyAttribute/2506  : 气球形状
gid://shopify/TaxonomyAttribute/7621  : 香蕉品种
gid://shopify/TaxonomyAttribute/2242  : 带强度
gid://shopify/TaxonomyAttribute/5123  : 绷带形状
gid://shopify/TaxonomyAttribute/8996  : 班卓琴琴头类型
gid://shopify/TaxonomyAttribute/8997  : 班卓琴琴颈材质
gid://shopify/TaxonomyAttribute/8998  : 班卓琴拾音器配置
gid://shopify/TaxonomyAttribute/8999  : 班卓琴琴圈材质
gid://shopify/TaxonomyAttribute/9000  : 班卓琴音环类型
gid://shopify/TaxonomyAttribute/9001  : 班卓琴调音机制类型
gid://shopify/TaxonomyAttribute/9002  : 纸币鉴定/评级
gid://shopify/TaxonomyAttribute/9003  : 纸币等级
gid://shopify/TaxonomyAttribute/9004  : 纸币保存盒类型
gid://shopify/TaxonomyAttribute/9005  : 纸币材质
gid://shopify/TaxonomyAttribute/9006  : 纸币防伪特征
gid://shopify/TaxonomyAttribute/9007  : 纸币序列号类型
gid://shopify/TaxonomyAttribute/2507  : 横幅设计
gid://shopify/TaxonomyAttribute/9008  : 横幅展示位置
gid://shopify/TaxonomyAttribute/9009  : 横幅悬挂五金件类型
gid://shopify/TaxonomyAttribute/9010  : 旗帜消息类型
gid://shopify/TaxonomyAttribute/9011  : 横幅形状
gid://shopify/TaxonomyAttribute/6867  : 长条椅配置
gid://shopify/TaxonomyAttribute/7622  : 棒体涂层
gid://shopify/TaxonomyAttribute/2860  : 杆安装类型
gid://shopify/TaxonomyAttribute/8052  : 手把套样式
gid://shopify/TaxonomyAttribute/7623  : 条状纹理
gid://shopify/TaxonomyAttribute/7046  : 倒刺类型
